model,MAE,RMSE,MAPE,MDA_%,R2,IC,IC_pval
LGBreg,0.0561354,0.0644096,439.92924999999997,50.001,-5.154400000000001,-0.17318,0.38472999999999996
RFreg,0.057950999999999996,0.0647509,421.40162,41.428,-7.87294,0.010110000000000003,0.41363000000000005
Ridge,0.052994299999999994,0.060221899999999995,353.09864000000005,54.287,-5.77573,-0.09978999999999999,0.36286999999999997
