model,MAE,RMSE,MAPE,MDA_%,R2,IC,IC_pval
LGBreg,0.0167117,0.0203238,596947.22857,49.286,-0.26507000000000003,0.16834,0.29244
RFreg,0.015156300000000001,0.019126499999999998,19389.56179,50.0,-0.07063,-0.1345,0.3775
Ridge,0.0160714,0.020566499999999998,13524.214170000001,56.428,-0.18839999999999998,0.07209000000000002,0.2089
