horizon,model,MAE,RMSE,MAPE,MDA_%,R2,IC,IC_pval
1,Stacking(RF+LGB),0.015053,0.020813,39336.2435,49.38,-0.0153,-0.0198,0.7589
5,Stacking(RF+LGB),0.032487,0.042354,146.8321,41.98,-0.1426,-0.1332,0.038
10,Stacking(RF+LGB),0.054268,0.066303,179.0578,43.62,-0.3285,-0.2418,0.0001
