horizon,metric,n_models,n_improved_by_news,mean_delta,median_delta,share_improved_by_news
1,AUC,2,2,0.01595000000000002,0.01595000000000002,1.0
1,Accuracy,2,1,-1.4999999999987246e-05,-1.4999999999987246e-05,0.5
1,F1,2,1,-0.008839999999999959,-0.008839999999999959,0.5
5,AUC,2,2,0.03369999999999995,0.03369999999999995,1.0
5,Accuracy,2,1,5.0000000000050004e-06,5.0000000000050004e-06,0.5
5,F1,2,1,-0.0010799999999999976,-0.0010799999999999976,0.5
10,AUC,2,2,0.050787499999999985,0.050787499999999985,1.0
10,Accuracy,2,0,-0.003569999999999962,-0.003569999999999962,0.0
10,F1,2,1,0.0038500000000000756,0.0038500000000000756,0.5
