model,MAE,RMSE,MAPE,MDA_%,R2,IC,IC_pval
LGBreg,0.016727799999999998,0.0207996,570669.89039,53.573,-0.35607,0.15209999999999999,0.32004
RFreg,0.0152586,0.0194737,45754.54262,44.284000000000006,-0.13529,-0.16088,0.30287000000000003
Ridge,0.015286,0.019944200000000002,11884.941439999999,57.858000000000004,-0.10321,0.03252999999999999,0.36957999999999996
