,OPEN,HIGH,LOW,CLOSE,VOL,log_ret,sma20,sma50,sma200,price_vs_sma20,RSI14,STOCHK,BBpctb,BBwidth,MACDnorm,ATRnorm,vol_std5,vol_std20,har_d,har_w,har_m,rv_park5,ret_sq_lag1,sign_lag1,ret_abs_ma5,ret_abs_ma20,OBV_z,month_sin,month_cos,dow_sin,dow_cos,is_month_end,is_quarter_end,is_friday,is_march,is_july,is_oct,in_crisis,sentiment_score,news_count,has_news,sentiment_trend_3,sentiment_volatility
RSI14,0.1003164649247799,0.10845872867044375,0.11633955976444296,0.12246110705354055,-0.06284095361924893,0.3196923502675038,-0.03669832454838757,-0.16094824116201112,-0.35675941601829525,0.8771550758176433,1.0,0.856105290468407,0.8997051485918268,-0.07803934064809735,0.5064461582639667,-0.32972495539900304,-0.13690280209900732,-0.14944911849271378,-0.0796325009520291,-0.11858208785658605,-0.1486345828092115,-0.1355140997457987,-0.0796325009520291,0.2282464887922026,-0.16625295476057478,-0.16872861683642953,0.7774441426576588,0.17465295264932934,-0.09256651039237936,0.008868972534285618,0.015779435347088228,0.008617568576737176,-0.004990980470638993,-0.01340325427470585,0.07099914248480389,0.08800211396919243,-0.16915624524799955,-0.03086072994006807,-0.01417366952301114,0.02435293911259293,0.024632310900284476,-0.028632232473906314,0.04276494755225731
STOCHK,0.013568737211649464,0.02566449668966329,0.03176951727002612,0.04227275958108576,-0.009905624508501696,0.3835015722291616,-0.10826291142182061,-0.1724273943588693,-0.29427653269019227,0.793339124275543,0.856105290468407,1.0,0.9220085924420036,-0.008041104634922417,0.6042614186944736,-0.19407028949758304,-0.03761218162999595,-0.022332149164683335,-0.027183100898397435,-0.029547248496118346,-0.043769929811479154,-0.04582385414768418,-0.027183100898397435,0.2801643127658805,-0.0688164130901147,-0.040362421499662814,0.7936925561423817,0.15463949156219906,-0.06602409666636501,0.018609805136105287,0.014353357073252084,0.01179558330799293,0.022867559739849466,-0.022668517647807595,0.050840455833384986,0.05345455988844052,-0.10679524752631879,0.035546461315205856,-0.0465646746782063,0.003999910362482324,0.00900752625158658,-0.06801132406303184,0.09393099696246784
BBpctb,0.06005322785510887,0.07175026742485334,0.07889146994086116,0.08701411670573607,-0.01679961342394149,0.3887369172343189,-0.07326913967033655,-0.144931097000252,-0.25935996108842924,0.8569398235581551,0.8997051485918268,0.9220085924420036,1.0,-0.020369414161990885,0.6498721463694206,-0.2519392431136682,-0.08585430465808068,-0.07485930828126769,-0.06847464855059708,-0.09179519796417034,-0.08732614115532102,-0.13563658022045177,-0.06847464855059708,0.2812807039171914,-0.11404183941404562,-0.08582581565427677,0.8586840728274294,0.17627351709594521,-0.020302580270088324,0.017123332867136007,0.019630614387530672,0.009121698271387443,0.009974335146664164,-0.021765426752876144,0.008786121344017333,0.05993037998131788,-0.12484185763692343,-0.03247221332771421,0.004978899197382224,0.01712568618349469,0.019748132957965802,-0.02655786399452708,0.06509232656639515
BBwidth,-0.35274697569025826,-0.33911394510378345,-0.365074059253684,-0.3530041521399642,0.33422010569939276,0.0005073516399139863,-0.34833684648732954,-0.3228975332996727,0.007029197312997995,-0.11125993395653422,-0.07803934064809735,-0.008041104634922417,-0.020369414161990885,1.0,0.09205536072013541,0.7619618318504351,0.6399899416380103,0.7944180253602965,0.27983058802892685,0.5408326306018076,0.7072534670807838,0.40509477514823305,0.27983058802892685,-0.0072739722442637265,0.6738459656981246,0.8205349515779408,0.018153910020198442,0.13469183316522026,0.05404384228382722,-0.007351492231844303,-0.004295591321778446,-0.0014896926930155084,0.017363400419600977,0.002079115239214521,-0.060236707758259886,-0.008271553446292688,-0.02693767514278165,0.3822085931876826,-0.007870348592396452,0.08086027480592348,0.06325792477875478,0.010797577253389165,0.10624270545306805
MACDnorm,-0.08086672607152619,-0.07807598902980102,-0.07135249804573174,-0.07126515956497145,0.02911013743912726,0.1530019167094643,-0.19911961794760627,-0.1762350530027572,-0.03739426015702141,0.7194082386832996,0.5064461582639667,0.6042614186944736,0.6498721463694206,0.09205536072013541,1.0,-0.0543275152896291,-0.04335884544707178,0.0733485082493177,-0.08596930034209166,-0.0916928696754758,0.0643288918815711,-0.20037686696220353,-0.08596930034209166,0.18853862626735715,-0.0978151390023728,0.07239074439455286,0.6229590689412555,0.06620834570788517,-0.030887740976260274,-0.0036760829064669425,0.0053100037451764195,-0.011897263416932206,-0.030687801821987024,-0.005074503958259451,-0.16699421280301804,0.08619230304587533,-0.00011024529604156351,0.08216836423082997,-0.030473794971305534,0.026343134938590623,0.05134813143628765,-0.034147024126698976,0.14060464295262626
ATRnorm,-0.4375998854696242,-0.42743948404180165,-0.4541149077753479,-0.44295847330940374,0.1902321988495605,-0.12131266192215716,-0.4057957008341447,-0.36152616704236956,0.009203384860819456,-0.4073084654492797,-0.32972495539900304,-0.19407028949758304,-0.2519392431136682,0.7619618318504351,-0.0543275152896291,1.0,0.684311560206531,0.8974486913207813,0.36584462638279486,0.6332750735803093,0.8465935943637111,0.60309989414996,0.36584462638279486,-0.055738059913391876,0.7185624047365734,0.8989206961219566,-0.1933955342721931,0.1728231233697741,-0.05941302534338915,-0.013528204999794255,-0.018682143582659485,-0.006326914915846171,0.03939911207901016,0.013251401193459718,0.006627327583745923,-0.07167997533873048,-0.011440602738784902,0.5516662490807825,-0.0409928523979034,0.014766260454840445,0.0022107616677370366,-0.014342128664517331,0.07822059661829144
vol_std5,-0.2979920833033771,-0.27865175022978206,-0.3146993648896937,-0.29446655179847925,0.3786056755652365,0.04602143547672892,-0.2847674381036331,-0.26413284942145526,0.007202926943436483,-0.1746382962159299,-0.13690280209900732,-0.03761218162999595,-0.08585430465808068,0.6399899416380103,-0.04335884544707178,0.684311560206531,1.0,0.7032342589291369,0.47302146411871604,0.7977434564918682,0.5756030439625527,0.6943578064965288,0.47302146411871604,0.0076526428164636,0.9563358305577361,0.7145179635209341,-0.06167021235700041,0.10513283328910977,0.03559737438281913,-0.012363649887742084,-0.0340779419977191,0.02172822950416622,0.11181651063911872,0.008075987772331221,0.002073630790429271,-0.03187422328326271,-0.047310715803639936,0.32513638450048593,-0.03299100608092637,0.02309306772720153,0.025000748403754026,-0.031689390128458055,0.0639695280099436
vol_std20,-0.3965547441124978,-0.38359464568285384,-0.41001789673993677,-0.39675065843840757,0.24381905472838022,-0.019813961229903348,-0.3832172611440946,-0.3530840653003422,-0.020920668009170272,-0.19072099562437692,-0.14944911849271378,-0.022332149164683335,-0.07485930828126769,0.7944180253602965,0.0733485082493177,0.8974486913207813,0.7032342589291369,1.0,0.34885142441055733,0.6347993460934411,0.9208387182371468,0.5136246798379551,0.34885142441055733,-0.017835857469384122,0.7098343349943236,0.9849717140764819,-0.058449051149732034,0.15378679413010593,-0.015288824743440243,-0.008161478495052962,-0.012633402104251653,0.002767281354492396,0.04857164781055787,0.004982544707771151,0.007809309070720365,-0.05803646459637442,0.016594149301628475,0.5017409852736718,-0.09240824299417977,0.06210054179184043,0.0484691894395128,-0.08553987344333601,0.07722570197875815
har_d,-0.14160825846423758,-0.12955078088180863,-0.14680809296859534,-0.13899812766395678,0.2203600147501087,0.020876770675406334,-0.12843229042341323,-0.1133098008369986,0.01597105378881752,-0.13413583143956728,-0.0796325009520291,-0.027183100898397435,-0.06847464855059708,0.27983058802892685,-0.08596930034209166,0.36584462638279486,0.47302146411871604,0.34885142441055733,1.0,0.6432689361281412,0.34095656727356594,0.5004175135460681,1.0,0.017458952799720606,0.47541398379565786,0.34201530607563313,-0.04237752909250606,0.061168520679126995,0.02150232018401161,-0.030927523793019475,0.012878738293977105,-0.0027516064974133156,0.024881981143487643,0.07198717067019922,-0.020563548938250683,-0.007554133615788855,-0.026941089326241726,0.1595982406289518,0.06423304053180372,0.00730522915387069,0.008123076471672826,0.03245350781984186,-0.026607220722479587
har_w,-0.2402986240312379,-0.2282850750346571,-0.24908310111440227,-0.23871493187115447,0.2059073865602058,0.03299410020850583,-0.22309860872345558,-0.19819679429341427,0.021781031698700312,-0.20746932278713429,-0.11858208785658605,-0.029547248496118346,-0.09179519796417034,0.5408326306018076,-0.0916928696754758,0.6332750735803093,0.7977434564918682,0.6347993460934411,0.6432689361281412,1.0,0.6261523887295846,0.7747995697729269,0.6432689361281411,-0.004841005067098158,0.7704737117329176,0.623979098283028,-0.06952883530869956,0.11028572292075017,0.005958662256849211,-0.013193881799394735,-0.015144070600878764,0.029114688524580472,0.10114595036659124,0.020134557453141747,0.049113724290055005,-0.018371043777852532,-0.034256447594112574,0.29582303534216187,0.013093164423808562,0.013451052710902956,0.02250599826587752,0.02637194039946847,0.03720433596510987
