model,MAE,RMSE,MAPE,MDA_%,R2,IC,IC_pval
LGBreg,0.0328805,0.0387036,458.10815,55.714,-1.6654399999999998,0.18375,0.28596
RFreg,0.0290564,0.0356734,250.10563000000002,50.714,-1.81098,0.15296000000000004,0.33319
Ridge,0.034337400000000004,0.0417781,355.99350999999996,48.572,-2.65761,-0.04529000000000001,0.17848
