,OPEN,HIGH,LOW,CLOSE,VOL,log_ret,sma20,sma50,sma200,price_vs_sma20,RSI14,STOCHK,BBpctb,BBwidth,MACDnorm,ATRnorm,vol_std5,vol_std20,har_d,har_w,har_m,rv_park5,ret_sq_lag1,sign_lag1,ret_abs_ma5,ret_abs_ma20,OBV_z,month_sin,month_cos,dow_sin,dow_cos,is_month_end,is_quarter_end,is_friday,is_march,is_july,is_oct,in_crisis,sentiment_score,news_count,has_news,sentiment_trend_3,sentiment_volatility
ATRnorm,-0.3298345165820942,-0.3195755042213523,-0.34935469278166603,-0.33660153343347105,0.25281009961669965,-0.09971160471086857,-0.29442159349110075,-0.24713615739248843,-0.042990657070832376,-0.26483596728837466,-0.34741341983760626,-0.23464669369628327,-0.25246234710078835,0.6810669847195332,-0.026553538047557976,1.0,0.6540001971590732,0.8818495498628315,0.3559967504516962,0.6706218449329595,0.8740685448118687,0.802488955377235,0.3559967504516962,-0.05594076666305002,0.6629076774056724,0.8703402993680696,-0.22963715501181045,0.052117521790795575,-0.055314350475250115,-0.009272796981196652,-0.02578722696773203,-0.007814716894394468,0.012956849805013814,0.007575026186999599,-0.046785527393388614,-0.062211458199798654,0.016544850824350078,0.46062550856330003,-0.006137954348230794,-0.007406504067277696,-0.005405029677987766,0.03491654544520147,0.12128300123444416
vol_std5,-0.2770225381989346,-0.25625178276470995,-0.2941382475385244,-0.273076683961861,0.44311908085920404,0.02993892647869919,-0.26811511875854716,-0.26249512852971996,-0.03977984920664155,-0.03822926997737312,-0.09691398153561843,-0.010163221083141619,-0.006043234280769292,0.6306276851614422,0.08930183126524725,0.6540001971590732,1.0,0.6959243558857618,0.5123256886473737,0.8680691588963039,0.6470624864399913,0.8479658912028766,0.5123256886473737,0.023274099438894594,0.9435841426986964,0.6969787920839791,-0.016622197881986718,0.06899710912870133,0.044861207564298115,-0.010223534843807962,-0.026042980024183034,-0.023263815184397435,0.03390873766680088,0.009632965259020038,-0.06088840050494518,-0.05550329771454529,-0.04347952795301826,0.2622603343590514,-0.07379228089377823,0.026262721455348473,0.026768470827439904,-0.0411569047080614,0.17059474312640413
vol_std20,-0.3655199566697786,-0.35143182748478724,-0.3802065344506957,-0.36456208688096664,0.32635056888690117,-0.010716633503898258,-0.35830744470603787,-0.34114792828757295,-0.12238289483712331,-0.040418232404721956,-0.10294237076567656,0.0011460365685830086,-0.01528931572418152,0.745200548279496,0.12045701812631832,0.8818495498628315,0.6959243558857618,1.0,0.36059993624027314,0.7154047320464924,0.966766055095228,0.7546003091435597,0.36059993624027314,-0.0013006519954077013,0.6925294463541859,0.9756932322960938,-0.021277256002469283,0.10156987024311848,-0.0019238236505882726,-0.007451239702554977,-0.020821932829396442,0.0012737815330955958,0.018047086023650186,0.005205454722638065,-0.01677676390439026,-0.08070539023702353,-0.020589484541363244,0.41142217792121744,-0.10062332304733886,0.03416684124083486,0.03552931019328387,-0.07574994566655645,0.16662495239872127
har_d,-0.11422351690583929,-0.10194866214003333,-0.12644049837249888,-0.11282539053916059,0.3329474947438384,-0.013852658541756723,-0.10492476763675358,-0.10368033258667894,0.027858707382949863,-0.058940990481851176,-0.08343289382354784,-0.041377913206299737,-0.03846551842892445,0.34162646671692126,0.008643703180936482,0.3559967504516962,0.5123256886473737,0.36059993624027314,1.0,0.5054575026293271,0.35133520274724417,0.4729068681006455,1.0,0.033122264369363726,0.5722112199550136,0.38498978412756457,-0.050992991985565075,0.06707425230780516,0.04519336896035377,0.04356278566907797,-0.02349276818852764,0.007012723764843221,0.001481643241802951,0.0050154137200373854,-0.02134601543415402,-0.03622269216995026,-0.05121523107704429,0.09810470201963822,0.1234293145383501,0.039895404052470135,0.04086992510934263,0.04570971275938754,0.1100154797616516
har_w,-0.26740999231838897,-0.2520670724467419,-0.2808551462386923,-0.26586043743130566,0.3783641027016859,-0.006679220797143088,-0.261780272140113,-0.2531857923211106,-0.02515043387875533,-0.038937737976103774,-0.09230298143645851,-0.015799516213429683,-0.006034489565347023,0.6876118169822523,0.1079719493120915,0.6706218449329595,0.8680691588963039,0.7154047320464924,0.5054575026293271,1.0,0.6924750129120083,0.8323408518429857,0.5054575026293271,0.03100656243210201,0.8872952142576834,0.7230019625750851,-0.011450523281002012,0.08525910202009936,0.04625249553643589,-0.011529729505841567,-0.014020054315844124,-0.001606756718749417,0.028936324193860635,0.005749829218238569,-0.0664966048681026,-0.06004683513593735,-0.049996201698527566,0.26854278473853016,0.005949606515889708,0.005152630872842669,0.006162706034469469,-0.013603427323461053,0.18958196026180885
har_m,-0.362217213430993,-0.3504635702204272,-0.3750671714559526,-0.36182286608879183,0.29400439111040105,-0.019026441656775188,-0.3609009910367614,-0.3430441694734026,-0.12557550139195733,-0.02376916362826472,-0.08019176468730037,0.010647746599076361,3.90113529672659e-05,0.7463371587381554,0.13651822136016042,0.8740685448118687,0.6470624864399913,0.966766055095228,0.35133520274724417,0.6924750129120083,1.0,0.714199842175899,0.35133520274724417,0.003622299703343949,0.6493826712209095,0.956826383822571,-0.0010860417830667413,0.10626509173894017,-0.005725862469561599,-0.009921209378258187,-0.03138856854376593,0.005268631254451929,0.010694082952481882,0.005531515434791454,-0.006205108377097551,-0.08250019833551273,0.005144594715216838,0.42497408400567194,-0.08827653437316382,0.027242539757722752,0.028546376053241083,-0.0790638876393775,0.135354539411705
rv_park5,-0.28248451842797,-0.2603007578492085,-0.30444700751184106,-0.282468722010567,0.40348078109647945,-0.031088858998238867,-0.2640861690520445,-0.2466507956247951,-0.03655940323285783,-0.10742819303858886,-0.17213412255326788,-0.07457939074441435,-0.08455922868932401,0.7036196119132715,0.06298751620902711,0.802488955377235,0.8479658912028766,0.7546003091435597,0.4729068681006455,0.8323408518429857,0.714199842175899,1.0,0.4729068681006455,0.0015555780941051425,0.8660571817615618,0.7522666586362482,-0.08124168325913536,0.0910992983250134,-0.0017003308785913808,-0.013345439562907752,-0.019174667027850086,0.003963431863614376,0.03276628235491379,0.013182147458533005,-0.0781479332498859,-0.049976928338140485,-0.07166733920551946,0.34044581533161256,-0.002353715972571672,0.022873860917599513,0.023599020786668083,0.014410583580130596,0.2115674498018005
ret_sq_lag1,-0.11422351690583929,-0.10194866214003333,-0.12644049837249888,-0.11282539053916059,0.3329474947438384,-0.013852658541756723,-0.10492476763675358,-0.10368033258667894,0.027858707382949863,-0.058940990481851176,-0.08343289382354784,-0.041377913206299737,-0.03846551842892445,0.34162646671692126,0.008643703180936482,0.3559967504516962,0.5123256886473737,0.36059993624027314,1.0,0.5054575026293271,0.35133520274724417,0.4729068681006455,1.0,0.033122264369363726,0.5722112199550136,0.38498978412756457,-0.050992991985565075,0.06707425230780516,0.04519336896035377,0.04356278566907797,-0.02349276818852764,0.007012723764843221,0.001481643241802951,0.0050154137200373854,-0.02134601543415402,-0.03622269216995026,-0.05121523107704429,0.09810470201963822,0.1234293145383501,0.039895404052470135,0.04086992510934263,0.04570971275938754,0.1100154797616516
sign_lag1,0.062379122597933864,0.06411443691635524,0.0645013735880175,0.06324060624306309,0.04580420363111121,-0.007555261020881014,0.011074170881711016,0.012701962516041262,-0.026473137392583165,0.24907783605126235,0.22441929402167327,0.28355619085053724,0.2802400596225257,0.003546331186760086,0.20160061718077088,-0.05594076666305002,0.023274099438894594,-0.0013006519954077013,0.033122264369363726,0.03100656243210201,0.003622299703343949,0.0015555780941051425,0.033122264369363726,1.0,0.012828312552281873,-0.004748658346491102,0.33181474897782826,0.036581708429165624,-0.0031936571783731807,0.05710374326400974,0.034242446080784764,0.027924446032424163,0.01116599328048192,-0.039394855803614,0.004677096411211052,0.014310015569879136,-0.03605125511882982,-0.009835488906838573,-0.05354640539016849,-0.021115512527299263,-0.02031689969503243,0.029984198268310325,0.0035731840204649996
ret_abs_ma5,-0.24715421311368135,-0.22574440814634966,-0.26548347679897655,-0.244119231457627,0.4940780778627159,0.005965015705802118,-0.2359171277118154,-0.22932905735963588,0.007906189731771629,-0.06659424841445363,-0.11599679624624411,-0.029528745262035104,-0.02790450557769989,0.6637443028532651,0.07346448754235999,0.6629076774056724,0.9435841426986964,0.6925294463541859,0.5722112199550136,0.8872952142576834,0.6493826712209095,0.8660571817615618,0.5722112199550136,0.012828312552281873,1.0,0.7155884268015997,-0.042034371326084216,0.09559549518619609,0.05254289074550101,-0.01697476677080723,-0.018037219084369043,-0.019485498649832074,0.025963010854847538,0.01217976662696752,-0.054674087281591684,-0.05145402940796765,-0.05910198698230033,0.24031746134320917,-0.002888616285550194,0.023517231177494435,0.02425781380748268,0.01716241978147775,0.19369384738789383
