model,MAE,RMSE,MAPE,MDA_%,R2,IC,IC_pval
LGBreg,0.0618013,0.0713046,412.56751,42.144,-9.3173,-0.19166,0.27491
RFreg,0.05958,0.0667196,401.80597,40.0,-9.040969999999998,0.01099,0.3983
Ridge,0.0541251,0.0627183,398.38682,55.717,-6.175399999999999,-0.10198,0.3766
