horizon,model,MAE,RMSE,MAPE,MDA_%,R2,IC,IC_pval
1,Stacking(RF+LGB),0.015056,0.020817,39275.1961,49.38,-0.0158,-0.0459,0.4764
5,Stacking(RF+LGB),0.03242,0.0423,146.2899,41.56,-0.1397,-0.0987,0.1251
10,Stacking(RF+LGB),0.053066,0.065089,165.6408,44.86,-0.2803,-0.2128,0.0008
