model,MAE,RMSE,MAPE,MDA_%,R2,IC,IC_pval
LGBreg,0.0170248,0.0208577,540311.54082,51.427,-0.32353,0.09627,0.42654
RFreg,0.015154699999999998,0.0191298,25876.078080000003,48.572,-0.07344,-0.12482,0.36256
Ridge,0.0162654,0.0206259,184310.15397,55.714999999999996,-0.20701,0.07164999999999999,0.27504999999999996
