model,MAE,RMSE,MAPE,MDA_%,R2,IC,IC_pval
LGBreg,0.030082199999999996,0.03654,350.4216,58.572,-1.6007000000000002,0.15912,0.35824
RFreg,0.025425399999999997,0.0319904,215.98799,55.001,-0.96983,0.22504999999999997,0.30691
Ridge,0.0329122,0.0397406,321.21583999999996,47.141999999999996,-2.2618199999999997,-0.027260000000000013,0.18294000000000002
