,OPEN,HIGH,LOW,CLOSE,VOL,log_ret,log_ret_lag1,log_ret_lag2,log_ret_lag3,log_ret_lag4,log_ret_lag5,log_ret_lag6,log_ret_lag7,log_ret_lag8,log_ret_lag9,log_ret_lag10,sma20,sma50,sma200,price_vs_sma20,RSI14,STOCHK,BBpctb,BBwidth,MACDnorm,ATRnorm,vol_std5,vol_std20,har_d,har_w,har_m,rv_park5,ret_sq_lag1,sign_lag1,ret_abs_ma5,ret_abs_ma20,OBV_z,month_sin,month_cos,dow_sin,dow_cos,is_month_end,is_quarter_end,is_friday,is_march,is_july,is_oct,in_crisis,sentiment_score,news_count,has_news,sentiment_trend_3,sentiment_volatility
log_ret_lag7,0.05537319777328164,0.053294565620183254,0.056383471753918606,0.05497992963726326,-0.058180511752906894,0.009962098098657978,0.009030104223352181,0.018254961885223246,0.034533445798261994,-0.0008103819037094374,-0.0019872758715623927,-0.02397163598425132,1.0,-0.02396652530751027,-0.002112032321851921,-0.0011980508295416127,0.008860750562001106,-0.01665012057900104,-0.07518871702692474,0.23828375489011225,0.21804399359669974,0.19409717910112778,0.20369650631179526,-0.006171241779264325,0.19819966364519956,-0.10239679598780001,-0.09384348884327195,-0.05409105183251546,-0.07015755798003652,-0.1003687207788773,-0.03643725265982725,-0.07743631939271263,-0.07015755798003652,-0.008349704095047277,-0.09566008465610999,-0.057123885508731,0.20475950214947933,0.03154661568643107,-0.01997808126829535,-0.010032636314173561,-0.03427276528927875,0.007260419664177544,-0.03443782363006465,0.017660186509255306,0.008517356454354927,0.020224665999601762,-0.01774950077495388,-0.018518637341683384,-0.11212560704946492,0.008195975619990952,0.005868607866365825,-0.10097290206212901,0.06766371210245399
log_ret_lag8,0.05404246513831084,0.05017306788953122,0.05414123219948319,0.050328012553307246,-0.04296605051412396,-0.04754713157330268,0.01051437384353974,0.008843484596912251,0.01834388693102411,0.033950304663107556,-0.0011904921917210312,-0.002113381602017911,-0.02396652530751027,1.0,-0.0238408650784135,-0.002649446736078985,0.01181815064158051,-0.015563592528714571,-0.07625451306432673,0.2047256840522257,0.19235887859251724,0.16552225884030441,0.16945768328718097,-0.008251945887818614,0.14635260330322172,-0.09660503636311911,-0.078753743028968,-0.05348508899526647,-0.04305870769468015,-0.09802889419034487,-0.04339790663239992,-0.08661254925552722,-0.04305870769468015,0.03142864568060547,-0.09347321244361004,-0.05713402672504619,0.18403007453141776,0.028764211338000396,-0.025646814699612924,-0.03237974203018829,-0.0018979593066360235,-0.011808362587957524,-0.028467785941289552,-0.007498016480862207,0.01707247499236745,0.014995735014685178,-0.020524535660565234,-0.022932838399441057,-0.0013231894044408283,0.00271514860139717,0.001288177522031862,-0.03314648363486353,0.11744686659564199
log_ret_lag9,0.051477331829344976,0.051196583807396855,0.05156859488527677,0.053401619414439896,-0.005442083370074064,0.04975020455190758,-0.04774379111922191,0.01048943135075972,0.00887057357385314,0.01852671164694171,0.034014324262170235,-0.0011435132133355039,-0.002112032321851921,-0.0238408650784135,1.0,-0.02369416646324759,0.015944154081528387,-0.013340747082602524,-0.07266647142789384,0.20503901207237765,0.1941873183625313,0.15605912284727913,0.16537165490268735,-0.011786597654601057,0.11166958981497287,-0.09430203393384207,-0.06661449861866475,-0.055610163336672694,-0.031245233152841626,-0.09146971440187256,-0.04632409658249539,-0.07576178067630883,-0.031245233152841626,-0.04245536229522858,-0.07523787951474784,-0.05767020884407707,0.1763897576566721,0.025828751848693345,-0.026039457059192077,0.0003269499047717521,0.038131155894741184,0.021083520084219338,0.01458389643032975,0.028422814098032885,0.007872794591288307,0.009723170007232962,-0.037531917085216804,-0.027766844766649503,0.09342836322998249,0.041576156156251674,0.0399868547482429,0.02105284454774275,0.06571504493445024
log_ret_lag10,0.05211353054292611,0.051859130624613115,0.05320885496243086,0.05430290112631098,0.003874277095021887,0.04316243721707513,0.050628628611040144,-0.04809503455142113,0.010515756598353828,0.008006102360396563,0.01808611957617175,0.03384591358796963,-0.0011980508295416127,-0.002649446736078985,-0.02369416646324759,1.0,0.018687046916810904,-0.012586924546661785,-0.07144466389366697,0.20521368733948472,0.1930414473357843,0.14668248766579997,0.16285951737079155,-0.01373824872541931,0.09058137945247041,-0.08797274013800764,-0.0474194687549332,-0.0568201156677253,-0.013659507888315273,-0.0700418183933507,-0.050321797950442525,-0.0691036384644427,-0.013659507888315273,0.04189219716390595,-0.05330223068616939,-0.05737054428943536,0.17408683765700894,0.02097904619388126,-0.02256322740793801,0.027787375365308224,0.022792929107589496,0.07415141756408758,0.0831969049896666,-0.033701043653457594,0.0021264513316085498,-0.002737393651859429,-0.038809620749798025,-0.021624676469901658,0.00575827592788096,0.01598121385820081,0.01460455798737264,0.013760598131552957,0.023477317291674665
sma20,0.9778686711166588,0.9770840632103914,0.9747321303602476,0.9747359651000886,0.08890941601506759,-0.018830695784319666,-0.013531999596404417,-0.010499636538942455,-0.006016012502231641,-0.003195509540844063,0.0005887942254147267,0.004628340891605898,0.008860750562001106,0.01181815064158051,0.015944154081528387,0.018687046916810904,1.0,0.9685843258974572,0.6959372783393671,-0.057802859052811184,-0.02262581086604833,-0.09885892958890158,-0.07839857810559515,-0.26816067444893926,-0.2171240312983913,-0.29442159349110075,-0.26811511875854716,-0.35830744470603787,-0.10492476763675358,-0.261780272140113,-0.3609009910367614,-0.2640861690520445,-0.10492476763675358,0.011074170881711016,-0.2359171277118154,-0.304139185531912,0.008774855971044864,0.07217711319450834,-0.13747214481706815,0.0071995117582675456,0.028897105464702935,-0.015768094334480252,-0.01319424375421599,-0.005458653840079416,0.08714860258795475,0.06336871190483194,-0.11069756274936242,-0.6242859910167529,0.07242627571669824,-0.0571100306850821,-0.0569270580897919,0.05281607316611066,-0.08455626987114652
sma50,0.9319374278675184,0.9319111041702403,0.9284422214930212,0.928525057133149,0.11270147053229448,-0.029431271671009947,-0.026488190311284753,-0.02494680483517121,-0.02244361497720817,-0.021807173841754752,-0.01959118968614645,-0.01811783143505122,-0.01665012057900104,-0.015563592528714571,-0.013340747082602524,-0.012586924546661785,0.9685843258974572,1.0,0.7600333562866448,-0.14911421714612688,-0.15859571286102103,-0.16204932402287459,-0.15456545408628924,-0.26041784995547096,-0.18548784118138428,-0.24713615739248843,-0.26249512852971996,-0.34114792828757295,-0.10368033258667894,-0.2531857923211106,-0.3430441694734026,-0.2466507956247951,-0.10368033258667894,0.012701962516041262,-0.22932905735963588,-0.2950113572494336,-0.11856467256680925,0.012232035533783128,-0.14186021457563702,0.008564732159659043,0.02727645989037105,-0.014451219302705248,-0.006774507765193103,-0.006457388302343554,0.03133797727506534,0.06957797038002775,-0.07577175979394098,-0.62703359118085,0.07996693303940479,-0.054064226882058315,-0.05325309760458527,0.06283098686109377,-0.06070127387420651
sma200,0.6507092043794578,0.6537465483992158,0.6450639571003215,0.6461319524021107,0.23190117942588392,-0.07815785623155384,-0.07516478641703365,-0.07612378829371949,-0.07443493913989993,-0.0764806067155989,-0.07642555807928599,-0.07638974207844718,-0.07518871702692474,-0.07625451306432673,-0.07266647142789384,-0.07144466389366697,0.6959372783393671,0.7600333562866448,1.0,-0.27619626018632853,-0.3442318867224722,-0.2921125489293316,-0.2711216744038852,0.0042692272925071925,-0.07579659780979191,-0.042990657070832376,-0.03977984920664155,-0.12238289483712331,0.027858707382949863,-0.02515043387875533,-0.12557550139195733,-0.03655940323285783,0.027858707382949863,-0.026473137392583165,0.007906189731771629,-0.0539640324347283,-0.34002065979645585,-0.15928368317854885,0.20595449998206714,0.011101351103390984,0.03344109253281082,-0.03253341594621154,-0.008088015387257303,-0.012094794393777836,-0.09632614831772703,-0.0572784764226317,0.049052623421943296,-0.41198229569506034,0.06458506195215338,-0.0546512932545212,-0.05494468158905599,0.04987478637963064,0.10349793063502433
price_vs_sma20,0.10840954815694567,0.11947842930414464,0.12578662432832166,0.13407946117401282,0.015073899486120023,0.3491556219556394,0.3383009878247279,0.31753330712576067,0.29024154414689235,0.282789621218447,0.2812287013919026,0.25492232867142495,0.23828375489011225,0.2047256840522257,0.20503901207237765,0.20521368733948472,-0.057802859052811184,-0.14911421714612688,-0.27619626018632853,1.0,0.9268695033052233,0.8848025247387908,0.9452150394439456,0.05102971694221783,0.6963073911904838,-0.26483596728837466,-0.03822926997737312,-0.040418232404721956,-0.058940990481851176,-0.038937737976103774,-0.02376916362826472,-0.10742819303858886,-0.058940990481851176,0.24907783605126235,-0.06659424841445363,-0.05939455208503086,0.7520076746970251,0.12699070422661743,-0.03446184047168458,0.01107851974595644,0.02547605634326888,0.007170820275477685,-0.0037444719728993514,-0.01744888809629328,-0.013375635064694915,0.060109748480922646,-0.1116338756094954,-0.023777778300938534,-0.06338007913778439,0.03320458887205536,0.033876015436912287,-0.07172868387251136,0.050211881485144765
RSI14,0.13291528515454068,0.1434363102936661,0.14932572027335506,0.15779133537723097,-0.0066863982698521516,0.3356949957997936,0.3146458595771447,0.29518781154972273,0.2749429177966086,0.26841146629165247,0.2569019380358107,0.23320001733615864,0.21804399359669974,0.19235887859251724,0.1941873183625313,0.1930414473357843,-0.02262581086604833,-0.15859571286102103,-0.3442318867224722,0.9268695033052233,1.0,0.8644131177025856,0.9195906807992447,0.004544574514058987,0.5223070997549047,-0.34741341983760626,-0.09691398153561843,-0.10294237076567656,-0.08343289382354784,-0.09230298143645851,-0.08019176468730037,-0.17213412255326788,-0.08343289382354784,0.22441929402167327,-0.11599679624624411,-0.11420674692471634,0.8323826300617445,0.21000863480952417,-0.05204705061617101,0.00906980443628141,0.02141253928189604,0.005862438975581536,-0.005007725768316199,-0.012255683803826469,0.07251865829134017,0.07104568793648394,-0.17757609055312268,-0.040580487269031254,-0.07471721290085129,0.027604763752747317,0.027298997233682662,-0.08227965183541913,0.004628822011921747
STOCHK,0.04399996063536562,0.05908390056098231,0.06499950986916984,0.07806068720615053,0.03598086061542878,0.45053371651602653,0.3487760112670473,0.3066771709808087,0.2745095965780227,0.2666585973768211,0.24785574029391827,0.2155633742456391,0.19409717910112778,0.16552225884030441,0.15605912284727913,0.14668248766579997,-0.09885892958890158,-0.16204932402287459,-0.2921125489293316,0.8848025247387908,0.8644131177025856,1.0,0.9313067252769938,0.046313925452469665,0.6747657762058483,-0.23464669369628327,-0.010163221083141619,0.0011460365685830086,-0.041377913206299737,-0.015799516213429683,0.010647746599076361,-0.07457939074441435,-0.041377913206299737,0.28355619085053724,-0.029528745262035104,-0.01745721825231451,0.6704145895315615,0.17124210271172471,-0.060892854919345006,0.015371445125376831,0.02389770078904669,0.008305653664760769,0.020464828248924545,-0.021562344177419073,0.04927604846123086,0.0566796342632227,-0.10311952721894863,0.02740457408256555,-0.10475651005842464,0.008022941864614328,0.008587872582615752,-0.11161108709633018,0.06917147891813819
