,OPEN,HIGH,LOW,CLOSE,VOL,log_ret,log_ret_lag1,log_ret_lag2,log_ret_lag3,log_ret_lag4,log_ret_lag5,log_ret_lag6,log_ret_lag7,log_ret_lag8,log_ret_lag9,log_ret_lag10,sma20,sma50,sma200,price_vs_sma20,RSI14,STOCHK,BBpctb,BBwidth,MACDnorm,ATRnorm,vol_std5,vol_std20,har_d,har_w,har_m,rv_park5,ret_sq_lag1,sign_lag1,ret_abs_ma5,ret_abs_ma20,OBV_z,month_sin,month_cos,dow_sin,dow_cos,is_month_end,is_quarter_end,is_friday,is_march,is_july,is_oct,in_crisis,sentiment_score,news_count,has_news,sentiment_trend_3,sentiment_volatility
OPEN,1.0,0.9985344164683396,0.9984621704934619,0.9973156166203525,0.0035104518179333304,-0.020963970635858083,0.04203450803427684,0.04292749268295151,0.04017096590336478,0.040040697092914294,0.0363905868298476,0.03729107863119815,0.03761099278019028,0.03796390916560957,0.03370249339398311,0.03495827605528813,0.9856342038632595,0.9546107376410584,0.6987050537416851,0.12067222386031135,0.1003164649247799,0.013568737211649464,0.06005322785510887,-0.35274697569025826,-0.08086672607152619,-0.4375998854696242,-0.2979920833033771,-0.3965547441124978,-0.14160825846423758,-0.2402986240312379,-0.35806989387251015,-0.23102708394455984,-0.14160825846423758,0.051948372075443755,-0.278374874661092,-0.36129585546969734,0.08408187442574021,0.04205254307907789,-0.07892958955763256,0.009605743041235145,0.02891287352988225,-0.020858414331470766,-0.023265633185223213,-0.006487479629457536,0.05785854893351254,0.03293467805195191,-0.0876984476644024,-0.6687582809033364,0.057251578979649574,-0.058993107973583654,-0.05185792052700289,0.05074081875375207,-0.09654887502090892
HIGH,0.9985344164683396,1.0,0.9976417868369157,0.9987073115495404,0.023062868110890474,0.010729709466306032,0.042376493425721085,0.04000275163542062,0.03921103956717668,0.03708020426621645,0.03659900230471908,0.03467505484131245,0.03715452111878684,0.03426719715068369,0.03272100433772388,0.03559356116860427,0.9848512995218078,0.9541343483591838,0.7034843170406934,0.12918989426651356,0.10845872867044375,0.02566449668966329,0.07175026742485334,-0.33911394510378345,-0.07807598902980102,-0.42743948404180165,-0.27865175022978206,-0.38359464568285384,-0.12955078088180863,-0.2282850750346571,-0.34948724094888756,-0.21901263314912964,-0.12955078088180863,0.05381064936062187,-0.25826213335884496,-0.3472355055242186,0.09086949025793964,0.04850156814321683,-0.07477507902755133,0.010098967248237646,0.028155792450232794,-0.01941502044642147,-0.019561786465249545,-0.007498000405342441,0.05825230385755631,0.031643885289089034,-0.0922284869307962,-0.6671420696759746,0.057544675501341236,-0.05891310337643136,-0.052703403466784524,0.053006276125832225,-0.09749332020770506
LOW,0.9984621704934619,0.9976417868369157,1.0,0.9985533083647107,-0.013785663680249971,0.014739268112971753,0.04331988993837435,0.04631254704321604,0.03918337569437876,0.040044460274795635,0.03892458458414609,0.03922436702531554,0.04017257226352302,0.037857643560908275,0.03429169402853843,0.0353724133727375,0.983535610581124,0.9520490512286961,0.6907701818485408,0.1375905978887504,0.11633955976444296,0.03176951727002612,0.07889146994086116,-0.365074059253684,-0.07135249804573174,-0.4541149077753479,-0.3146993648896937,-0.41001789673993677,-0.14680809296859534,-0.24908310111440227,-0.366684591710933,-0.24379905992613107,-0.14680809296859534,0.05373618557546157,-0.29743517442035805,-0.37603037326176253,0.09518263787054454,0.038894767393959084,-0.08001428041739972,0.010160427677880926,0.029418609578672844,-0.020112561899825843,-0.02207030112040941,-0.007628728789728705,0.058758133615912825,0.035087061755532056,-0.08599617068160494,-0.6699960716134674,0.058260596390143395,-0.06034200553968859,-0.053547357628737975,0.04968863814674226,-0.09930324615528131
CLOSE,0.9973156166203525,0.9987073115495404,0.9985533083647107,1.0,0.0073260937240839635,0.040517962769707386,0.041242361667006566,0.04025013809785137,0.04012817703647566,0.03730269802846816,0.03852008337187175,0.03767103026831718,0.03804298075296458,0.032809348610692936,0.03556966268631852,0.03732873096130712,0.983400657022388,0.951935774404627,0.69440915358553,0.1435522395499375,0.12246110705354055,0.04227275958108576,0.08701411670573607,-0.3530041521399642,-0.07126515956497145,-0.44295847330940374,-0.29446655179847925,-0.39675065843840757,-0.13899812766395678,-0.23871493187115447,-0.3592482170677756,-0.22951536478346543,-0.13899812766395678,0.053376993419561376,-0.27619373782660966,-0.36188856218706317,0.10014280100191408,0.0442499153617419,-0.07783533483921776,0.00960466839721763,0.02964048800172581,-0.017515750504391147,-0.0180682325127057,-0.007340683808799426,0.05937668163131698,0.0334299001885879,-0.09024630006136268,-0.668429443295104,0.05719791514294486,-0.060306515089058696,-0.053341954294976734,0.050034720687599094,-0.09911024358522853
VOL,0.0035104518179333304,0.023062868110890474,-0.013785663680249971,0.0073260937240839635,1.0,0.008100100260998555,0.03273138462626505,-0.054568673693430936,0.0020399412595152673,-0.011212435716541423,-0.02772809060431365,-0.046466064080685154,-0.08188829501440383,-0.04552988047812831,-0.017286869556069173,-0.029748234652453985,0.020235989098421083,0.05784813071448508,0.21441245376128162,-0.06378148313318856,-0.06284095361924893,-0.009905624508501696,-0.01679961342394149,0.33422010569939276,0.02911013743912726,0.1902321988495605,0.3786056755652365,0.24381905472838022,0.2203600147501087,0.2059073865602058,0.11412820158618277,0.18648958760623827,0.2203600147501087,0.03900908357512944,0.41903463540729263,0.2860042012914326,-0.09758968953738383,-0.023665216732821584,0.15129722667374923,0.02056468904302453,-0.029857687755519606,-0.009278653712136481,-0.012424521210879294,-0.026540455746302573,-0.07599858903565096,-0.022468020571458486,-0.06376807130064092,-0.13806754811321248,-0.09720527059812016,0.03661389169057263,0.036974099018507955,-0.046564753698656834,-0.004378009585617083
log_ret,-0.020963970635858083,0.010729709466306032,0.014739268112971753,0.040517962769707386,0.008100100260998555,1.0,0.00565456428214435,0.012703129807360287,-0.0359012849930168,-0.03926312029430808,0.02708828792523162,-0.04364466063995695,-0.015343061732013464,-0.0417978503105237,0.0333172671614473,0.07545418974859892,-0.02305905740709005,-0.03614993565756555,-0.06868889269919841,0.38084028770881984,0.3196923502675038,0.3835015722291616,0.3887369172343189,0.0005073516399139863,0.1530019167094643,-0.12131266192215716,0.04602143547672892,-0.019813961229903348,0.020876770675406334,0.03299410020850583,-0.03348581777359171,-0.025504617757982323,0.020876770675406334,0.019950513485511214,-0.007414275693718856,-0.024681242563681833,0.24123958104830254,0.013204660077471484,-0.007763545451929785,0.025521080849433928,0.009076653155137735,0.06788884262505758,0.09456288655286454,-0.03879033744702088,0.0423562362310924,0.04234345719647317,-0.01532281531964035,-0.004064059536925315,0.04696348801869347,-0.010989355233386107,-0.021091274831354593,-0.0016889079063938212,-0.0026426367872312805
log_ret_lag1,0.04203450803427684,0.042376493425721085,0.04331988993837435,0.041242361667006566,0.03273138462626505,0.00565456428214435,1.0,0.005719340803452401,0.012680825304896445,-0.035634161060669994,-0.03916842161163208,0.027119720555081817,-0.04364658640723166,-0.015211339924756638,-0.04183818325416951,0.03355824871257544,-0.018867733804676944,-0.033790926319710715,-0.06738131420235723,0.3644285296009448,0.295642553295383,0.3038157938780646,0.33561187825013405,-0.008085997714352505,0.2718549062412419,-0.11909317030298966,0.020327262007099046,-0.02665466143592836,-0.020317403354553856,0.008427698988469984,-0.03303178631467486,-0.08078762597825688,-0.020317403354553856,0.6523728243296975,-0.01599217902909291,-0.030565668704579618,0.21789315325938588,0.014835746574937013,-0.018682903491614528,0.009988329077721268,-0.014996722733857604,-0.0055752297219344325,0.019210290659713903,-0.003471805996420019,0.010081460111713543,0.040185823844405236,-0.012683962439783604,0.0031110730962727413,0.03174860231475156,-0.006982817203144905,0.02201110075806297,0.03434637602538776,-0.049802143892556335
log_ret_lag2,0.04292749268295151,0.04000275163542062,0.04631254704321604,0.04025013809785137,-0.054568673693430936,0.012703129807360287,0.005719340803452401,1.0,0.0057262004323460555,0.012603654750845194,-0.03566408099783515,-0.03917704716490251,0.027119130379756846,-0.043687745467633765,-0.015200926485516643,-0.04191289593545127,-0.015776161427171153,-0.03168642968513761,-0.06762323118087747,0.34633679759668157,0.2739030881321154,0.26715738613984624,0.2976002240558919,-0.01896842411381263,0.33286813203152227,-0.13778058848224348,-0.01880750265401038,-0.040974721314161994,0.058978282492136165,-0.0031974224182841704,-0.02498016473935927,-0.16070396760894817,0.058978282492136165,-0.07053715679277936,-0.057648847003325725,-0.0465642971116131,0.2106768625620469,0.018054239473665887,-0.015466349934119293,-0.029595155573175973,-0.0006021644072995148,-0.03327746289580496,-0.03563939256953644,0.023417153943656725,-0.04168604708191914,0.03844472408483234,-0.009020334047998946,-0.008771296875865366,-0.007250247019249027,-0.042061333166204744,-0.008471632571892228,0.0382745660616704,-0.05221216647774467
log_ret_lag3,0.04017096590336478,0.03921103956717668,0.03918337569437876,0.04012817703647566,0.0020399412595152673,-0.0359012849930168,0.012680825304896445,0.0057262004323460555,1.0,0.0057571090130426935,0.012614757732873225,-0.03566115852609178,-0.039176787242452465,0.02713453851633346,-0.04369164528245798,-0.015179666274353501,-0.011711007543342762,-0.02912362634859933,-0.06684718373919026,0.3098687310088605,0.2559163962835831,0.24050214142577278,0.25969314126624965,-0.02807829819160975,0.34444532193406335,-0.12291930723087266,-0.03478371841785727,-0.0448146631531498,-0.1793402153829046,-0.06874851253349969,-0.0449090541479399,-0.1541880932315454,-0.1793402153829046,-0.00020305743549177454,-0.06481803590041943,-0.047959444389020334,0.2022906637634686,0.019002105435596224,-0.016852984903226825,-0.006677640700829192,0.019396559419995137,0.020612580823648644,0.03990977124424206,-0.012755237955145592,-0.03200930608071844,0.04195460128149323,-0.010946923413992908,-0.012805248309889106,-0.027158369817171738,0.011348285255297307,0.03540448312530081,-0.015148673197922036,0.008991669874835486
log_ret_lag4,0.040040697092914294,0.03708020426621645,0.040044460274795635,0.03730269802846816,-0.011212435716541423,-0.03926312029430808,-0.035634161060669994,0.012603654750845194,0.0057571090130426935,1.0,0.005633648746830769,0.012581600330184208,-0.03567096783010605,-0.03935268232908924,0.02718372320274086,-0.04399562409605996,-0.008756250781400972,-0.02857195588041784,-0.06751915439521147,0.27288533825562916,0.23610596527462477,0.21957111887159236,0.23110696825481167,-0.03330909582766706,0.31940351633211467,-0.12130241224992482,-0.0645025302104292,-0.05343169940729044,-0.08196732379186202,-0.06940900943752865,-0.058659163368902284,-0.1857985235222231,-0.08196732379186202,-0.01247485005877536,-0.10136767816181816,-0.05601791432268054,0.18999328143719543,0.013764719638585811,-0.01664301502909774,0.015572869308978488,0.01525134708870595,-0.04867103563970845,-0.12318148130934096,0.02063303646609394,-0.04418263286281378,0.04779690831881221,0.006778803264290141,-0.01885853571928645,-0.01274300072453646,0.0002491074174138603,0.012329285694442763,-0.03543366877258386,0.010743296269991801
