model,MAE,RMSE,MAPE,MDA_%,R2,IC,IC_pval
LGBreg,0.0301535,0.0374173,355.12998000000005,61.428999999999995,-1.61753,0.03648,0.33265
RFreg,0.025418299999999998,0.0319732,211.81601,55.001,-1.00429,0.18638,0.30642
Ridge,0.033477400000000004,0.039928599999999995,308.07899,45.0,-2.4376,-0.07735999999999998,0.23326000000000002
