weekday,mean_log_ret_pct,weekday_name
0,0.19355353737712006,Mon
1,0.09655979914794557,Tue
2,0.03362694743096962,Wed
3,0.04711496666256599,Thu
4,-0.2186672386052354,Fri
5,0.4363425719187618,Sat
6,0.141233002863601,Sun
