model,MAE,RMSE,MAPE,MDA_%,R2,IC,IC_pval
LGBreg,0.0545408,0.06294140000000001,428.85402000000005,51.428999999999995,-4.8458,-0.24483000000000002,0.31781000000000004
RFreg,0.0582044,0.0649576,425.99499,40.714,-7.91756,0.012740000000000007,0.39767
Ridge,0.0539505,0.0609204,349.22144,57.145,-6.00067,-0.04352000000000002,0.38963000000000003
