month,mean_log_ret_pct,month_name
1,0.054967694015516946,Jan
2,-0.07221817790076797,Feb
3,0.5358976275624929,Mar
4,-0.13336272724537176,Apr
5,-0.32181382407222037,May
6,0.23203009584651405,Jun
7,0.47854402417159675,Jul
8,0.024767871469472028,Aug
9,-0.4201078727872802,Sep
10,-0.14919210734005692,Oct
11,0.07674387503634465,Nov
12,0.07940874805549046,Dec
